"","location","type","lon","lat","el"
"1","US","country",-95.712891,37.09024,NA
"2","France","country",2.213749,46.227638,NA
"3","Italy","country",12.56738,41.87194,-3262.85620117188
"4","Spain","country",-3.74922,40.463667,594.101379394531
"5","Portugal","country",-8.224454,39.399872,167.038345336914
"6","Chile","country",-71.542969,-35.675147,193.397064208984
"7","Argentina","country",-63.616672,-38.416097,113
"8","Austria","country",14.550072,47.516231,1166.25732421875
"9","Australia","country",133.775136,-25.274398,399.446960449219
"10","Germany","country",10.451526,51.165691,204.952819824219
"11","New Zealand","country",174.885971,-40.900557,-0.223045900464058
"12","South Africa","country",22.937506,-30.559482,1110.38452148438
"13","Israel","country",34.851612,31.046051,462.004547119141
"14","Greece","country",21.824312,39.074208,890.410339355469
"15","Canada","country",-106.346771,56.130366,469.081451416016
"16","Hungary","country",19.5033041,47.162494,129.371429443359
"17","Bulgaria","country",25.48583,42.733883,1113.16369628906
"18","Romania","country",24.96676,45.943161,627.357421875
"19","Uruguay","country",-55.765835,-32.522779,88.6449279785156
"20","Turkey","country",35.243322,38.963745,1220.3251953125
"21","Slovenia","country",14.995463,46.151241,335.868682861328
"22","Georgia","country",-82.9000751,32.1656221,79.2293472290039
"23","England","country",-1.1743197,52.3555177,103.699668884277
"24","Croatia","country",15.2000001,45.1,896.603881835938
"25","Mexico","country",-102.552784,23.634501,1976.76318359375
"26","","country",NA,NA,NA
"27","Moldova","country",28.369885,47.411631,90.2555236816406
"28","Brazil","country",-51.92528,-14.235004,259.0634765625
"29","California","province",-119.4179324,36.778261,145.007125854492
"30","Washington","province",-120.7401385,47.7510741,614.494201660156
"31","Bordeaux","province",-0.57918,44.837789,10.5483264923096
"32","Tuscany","province",11.2486208,43.7710513,45.3950538635254
"33","Oregon","province",-120.5542012,43.8041334,1415.20043945312
"34","Burgundy","province",4.3837215,47.0525047,342.914306640625
"35","Northern Spain","province",-3.2027179,43.3366072,53.9473991394043
"36","Piedmont","province",7.5153885,45.0522366,328.493377685547
"37","Mendoza Province","province",-68.8526867,-32.8896247,780.024536132812
"38","Veneto","province",12.3152595,45.4414662,4.26874780654907
"39","New York","province",-74.0059728,40.7127753,13.3652086257935
"40","Alsace","province",7.4416241,48.3181795,176.3095703125
"41","Northeastern Italy","province",11.5621417,45.9295022,1534.17248535156
"42","Loire Valley","province",1.0105289,47.5532402,123.108139038086
"43","Sicily & Sardinia","province",14.0153557,37.5999938,622.540649414062
"44","Champagne","province",-92.0168981,30.2034756,11.0603799819946
"45","Southwest France","province",2.213749,46.227638,423.194946289062
"46","South Australia","province",136.2091547,-30.0002315,132.003662109375
"47","Southern Italy","province",-89.535111,42.975917,296.128356933594
"48","Provence","province",6.2116438,44.0144936,609.903991699219
"49","Douro","province",-73.6256504,41.0264876,25.983039855957
"50","Central Italy","province",12.56738,41.87194,39.4538803100586
"51","Catalonia","province",1.5208624,41.5911589,543.069702148438
"52","Rhône Valley","province",NA,NA,NA
"53","Beaujolais","province",-90.7681473,29.7857642,1.79416596889496
"54","Mosel","province",6.2118023,49.1671789,169.705673217773
"55","Alentejano","province",NA,NA,NA
"56","Colchagua Valley","province",-71.097317,-34.6761419,486.421142578125
"57","Marlborough","province",-71.5522874,42.3459271,118.594902038574
"58","Virginia","province",-78.6568942,37.4315734,213.567199707031
"59","Tejo","province",-74.135109,40.780237,32.0413436889648
"60","France Other","province",2.2944813,48.8583701,34.4902076721191
"61","Burgenland","province",16.2688797,47.1537165,272.424468994141
"62","Maipo Valley","province",-70.7644236,-33.8088442,396.322875976562
"63","Languedoc-Roussillon","province",3.2583626,43.5912356,356.641052246094
"64","Casablanca Valley","province",-71.4070899,-33.3182828,266.236419677734
"65","Port","province",-95.7402324,36.230608,185.426040649414
"66","Niederösterreich","province",15.8049558,48.108077,467.429260253906
"67","Other","province",-73.9803168,40.7534247,22.767707824707
"68","Lombardy","province",9.8452433,45.4790671,109.772956848145
"69","Lisboa","province",-9.1393366,38.7222524,56.4404678344727
"70","Central Spain","province",-3.74922,40.463667,594.101379394531
"71","Maule Valley","province",NA,NA,NA
"72","Levante","province",-75.5879389,39.9490032,126.819580078125
"73","Stellenbosch","province",18.860152,-33.9321045,110.557472229004
"74","Galicia","province",-8.1338558,42.5750554,704.892639160156
"75","Vinho Verde","province",NA,NA,NA
"76","Kamptal","province",15.4126618,48.585085,393.698822021484
"77","Central Valley","province",-122.2011075,40.1998777,84.8686904907227
"78","Wachau","province",15.4748897,48.3896089,364.132293701172
"79","Dão","province",-73.9841458,40.7522798,25
"80","Kremstal","province",14.1900873,48.0668703,334.742248535156
"81","Victoria","province",-97.0035982,28.8052674,28.606689453125
"82","Rheingau","province",8.1104164,50.1891679,306.865478515625
"83","Western Australia","province",121.6283098,-27.6728168,448.064697265625
"84","Rheinhessen","province",8.0850303,49.8935328,158.305099487305
"85","Western Cape","province",21.8568586,-33.2277918,497.068206787109
"86","Galilee","province",-95.9839349,36.1772717,204.185165405273
"87","Australia Other","province",NA,NA,NA
"88","Curicó Valley","province",-71.2417746,-34.9859489,213.993286132812
"89","Leyda Valley","province",-71.4501843,-33.6131574,181.289886474609
"90","Cachapoal Valley","province",-70.6216794,-34.1718313,830.265686035156
"91","Idaho","province",-114.7420408,44.0682019,2441.80737304688
"92","Andalucia","province",-4.7277528,37.5442706,213.59716796875
"93","Pfalz","province",7.8609481,49.4822116,308.693756103516
"94","Alentejo","province",-7.800085,38.2003808,183.704605102539
"95","Bairrada","province",-73.641652,40.749231,33.3565673828125
"96","Central Otago","province",169.3988451,-44.9566315,882.733642578125
"97","Rapel Valley","province",-71.7361783,-33.9429359,24.3818016052246
"98","British Columbia","province",-127.6476205,53.7266683,1121.07775878906
"99","Península de Setúbal","province",NA,NA,NA
"100","Hawke's Bay","province",176.7416374,-39.1089867,638.3515625
"101","Italy Other","province",7.683218,45.068873,239.920639038086
"102","Coastal Region","province",-82.5771421,28.9026185,4.47205924987793
"103","Thermenregion","province",NA,NA,NA
"104","Aconcagua Valley","province",-70.0108675,-32.653179,6907.09326171875
"105","Judean Hills","province",35.1666667,31.6666667,898.276428222656
"106","Michigan","province",-85.6023643,44.3148443,413.539489746094
"107","Thracian Valley","province",NA,NA,NA
"108","Südsteiermark","province",15.5480548,46.7754628,271.232574462891
"109","Limarí Valley","province",-71.0022311,-30.7462002,383
"110","Mosel-Saar-Ruwer","province",NA,NA,NA
"111","Carnuntum","province",16.861693,48.113326,173.511795043945
"112","Weinviertel","province",16.5149128,48.3845561,175.069839477539
"113","Martinborough","province",175.4600651,-41.2190932,29
"114","Ontario","province",-85.323214,51.253775,172.910263061523
"115","America","province",-95.712891,37.09024,257.406158447266
"116","Texas","province",-99.9018131,31.9685988,571.759948730469
"117","Robertson","province",-96.4929797,31.0080004,142.949554443359
"118","New South Wales","province",146.921099,-31.2532183,187.084426879883
"119","Nahe","province",7.4437324,49.765243,198.572204589844
"120","Paarl","province",18.9621091,-33.7342304,125.868591308594
"121","England","province",-1.1743197,52.3555177,103.699668884277
"122","Kakheti","province",45.6905554,41.6481602,569.141540527344
"123","Swartland","province",18.7125791,-33.3306832,177.102005004883
"124","Vienna","province",16.3738189,48.2081743,171.787872314453
"125","San Antonio","province",-98.4936282,29.4241219,197.583984375
"126","Colorado","province",-105.7820674,39.5500507,3380.2646484375
"127","Österreichischer Sekt","province",16.3787714,48.198982,171.431030273438
"128","Valle de Guadalupe","province",-116.572572,32.0956281,332.646301269531
"129","Wagram","province",16.5640125,48.299052,163.824645996094
"130","Spain Other","province",-3.6812251,40.4272595,668.513366699219
"131","","province",NA,NA,NA
"132","Baden","province",9.3501336,48.6616037,282.844757080078
"133","Peloponnese","province",22.37349,37.5079472,664.196960449219
"134","Wagram-Donauland","province",15.8,48.4333333,215.761642456055
"135","Moldova","province",28.369885,47.411631,90.2555236816406
"136","Elqui Valley","province",NA,NA,NA
"137","Chile","province",-71.542969,-35.675147,193.397064208984
"138","Nemea","province",22.660998,37.82133,308.016632080078
"139","","region_1",NA,NA,NA
"140","Napa Valley","region_1",-122.2653887,38.5024689,277.752777099609
"141","Columbia Valley (WA)","region_1",-120.3180415,47.4190547,238.73811340332
"142","Russian River Valley","region_1",-122.8175328,38.4836416,33.2613220214844
"143","California","region_1",-119.4179324,36.778261,145.007125854492
"144","Paso Robles","region_1",-120.6545022,35.6368759,255.083648681641
"145","Mendoza","region_1",-68.8458386,-32.8894587,768.765441894531
"146","Willamette Valley","region_1",-122.9337615,44.942554,65.4788360595703
"147","Alsace","region_1",7.4416241,48.3181795,176.3095703125
"148","Champagne","region_1",-92.0168981,30.2034756,11.0603799819946
"149","Barolo","region_1",-122.3374525,47.6146633,29.1730060577393
"150","Finger Lakes","region_1",-76.9297247,42.7238165,133
"151","Sonoma Coast","region_1",-123.1011733,38.4242109,103.265243530273
"152","Brunello di Montalcino","region_1",-73.9589049,40.7684892,18.89914894104
"153","Rioja","region_1",-2.539603,42.2870733,976.528503417969
"154","Sonoma County","region_1",-122.9888319,38.5779555,475.543884277344
"155","Toscana","region_1",-110.9669111,32.3703722,814.833862304688
"156","Walla Walla Valley (WA)","region_1",-118.3387429,46.0655953,290.954437255859
"157","Chianti Classico","region_1",-118.1517996,33.7987772,20.8697490692139
"158","Santa Barbara County","region_1",-119.6982057,34.4208321,11.9056615829468
"159","Carneros","region_1",-122.3348556,38.2554556,40.288761138916
"160","Yakima Valley","region_1",-120.0086385,46.3289058,229.318450927734
"161","Sta. Rita Hills","region_1",-120.1152408,34.6659565,249.72428894043
"162","Dry Creek Valley","region_1",-122.873166,38.61054,32.4340629577637
"163","Sicilia","region_1",14.0153557,37.5999938,622.540649414062
"164","Côtes de Provence","region_1",NA,NA,NA
"165","Santa Ynez Valley","region_1",-120.0973685,34.5841542,130.039123535156
"166","Santa Lucia Highlands","region_1",-121.4203754,36.4307709,108.855781555176
"167","Lodi","region_1",-121.2722194,38.1341477,16.9169006347656
"168","Barbaresco","region_1",8.0835572,44.7232618,267.333160400391
"169","Alexander Valley","region_1",-122.7694345,38.6129647,59.158447265625
"170","Central Coast","region_1",-121.3273194,36.436686,66.5803909301758
"171","Ribera del Duero","region_1",-3.6623239,41.7820044,903.575378417969
"172","Red Mountain","region_1",-117.8194705,49.1024147,1159.16162109375
"173","Santa Maria Valley","region_1",-120.4313105,34.9776596,65.7783966064453
"174","Alto Adige","region_1",11.3402657,46.494945,263.217224121094
"175","Sonoma Valley","region_1",-122.4974823,38.3668797,178.493453979492
"176","Anderson Valley","region_1",-123.4794542,39.0865657,58.4348220825195
"177","North Fork of Long Island","region_1",-72.626999,40.9445753,11.1107969284058
"178","Saint-Émilion","region_1",-0.155729,44.894387,81.0038681030273
"179","Chablis","region_1",3.800451,47.815269,138.941162109375
"180","Horse Heaven Hills","region_1",-119.8678139,46.1331878,522.850952148438
"181","Virginia","region_1",-78.6568942,37.4315734,213.567199707031
"182","Dundee Hills","region_1",-123.0184144,45.2782607,74.9875106811523
"183","Sancerre","region_1",2.839867,47.329583,292.799468994141
"184","Santa Cruz Mountains","region_1",-121.8448906,37.1108921,1139.19665527344
"185","Bordeaux","region_1",-0.57918,44.837789,10.5483264923096
"186","Cava","region_1",-96.8264919,33.0804395,220.386825561523
"187","Cahors","region_1",1.441989,44.4475229,129.578887939453
"188","Bordeaux Blanc","region_1",NA,NA,NA
"189","Oregon","region_1",-120.5542012,43.8041334,1415.20043945312
"190","Bordeaux Supérieur","region_1",NA,NA,NA
"191","Livermore Valley","region_1",-121.7918985,37.680208,136.175537109375
"192","Washington","region_1",-120.7401385,47.7510741,614.494201660156
"193","Amarone della Valpolicella Classico","region_1",NA,NA,NA
"194","Rutherford","region_1",-74.1068091,40.826489,27.8261394500732
"195","Edna Valley","region_1",-120.6075179,35.2170004,90.7128829956055
"196","Sierra Foothills","region_1",-121.1502593,38.6669658,91.9541931152344
"197","Amador County","region_1",-120.7740931,38.3488921,371.365875244141
"198","Pessac-Léognan","region_1",-0.6903529,44.8356039,48.9967651367188
"199","Mendocino County","region_1",-123.438353,39.5500194,586.230529785156
"200","Rogue Valley","region_1",-122.9261546,42.4401246,364.287933349609
"201","Collio","region_1",10.3338726,45.8109034,850.9853515625
"202","Haut-Médoc","region_1",-0.038418,44.556862,44.7783126831055
"203","Mendocino","region_1",-123.7994591,39.3076744,42.6272048950195
"204","North Coast","region_1",-117.255003,33.2359409,77.5101470947266
"205","Wahluke Slope","region_1",-119.8342096,46.7498928,264.051300048828
"206","McLaren Vale","region_1",138.5461247,-35.2210309,87.7849273681641
"207","Monterey","region_1",-121.8946761,36.6002378,5.42172288894653
"208","Rías Baixas","region_1",-8.8142264,42.4270967,42.1771278381348
"209","Monterey County","region_1",-121.3541631,36.3136201,579.244201660156
"210","Blaye Côtes de Bordeaux","region_1",NA,NA,NA
"211","Rosso di Montalcino","region_1",11.437808,42.967171,108.111709594727
"212","Chehalem Mountains","region_1",-123.037326,45.3762277,404.493347167969
"213","El Dorado","region_1",-96.8869965,37.8167564,411.855590820312
"214","Pouilly-Fuissé","region_1",NA,NA,NA
"215","Médoc","region_1",-0.038418,44.556862,44.7783126831055
"216","Rueda","region_1",-4.9597661,41.4108743,725.779846191406
"217","Oakville","region_1",-79.6876659,43.467517,126.121788024902
"218","Vin de France","region_1",-90.2129576,38.6213353,139.458892822266
"219","Lake County","region_1",-87.8271534,42.3689363,179.255111694336
"220","Crémant d'Alsace","region_1",7.2845508,48.0224427,328.607086181641
"221","Eola-Amity Hills","region_1",-123.1637138,45.1312282,243.957702636719
"222","Uco Valley","region_1",NA,NA,NA
"223","Etna","region_1",14.9934349,37.751005,3264.31713867188
"224","Margaux","region_1",-0.677519,45.042035,14.8572998046875
"225","Franciacorta","region_1",10.1193296,45.5770191,154.665023803711
"226","Priorat","region_1",0.7913227,41.2379783,402.251525878906
"227","Côtes du Rhône","region_1",NA,NA,NA
"228","Vino Nobile di Montepulciano","region_1",-73.9894704,40.7445722,15.1140937805176
"229","Conegliano Valdobbiadene Prosecco Superiore","region_1",NA,NA,NA
